,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
10,0.77381,0.355556,0.453,0.833,0.62,0,0,0,0,0,0,0,0,0,0.111111,0.77381,0.244444,0,0,0.51,0,0.57,1,0,0,0,0,0,0,0
11,0.869048,0.288889,0.453,0.244,0.66,0.623,0.59,0.77,0,0,0.157895,0.2,0,0,0,0.857143,0.355556,0.506,0.635,0.55,0.061,0.33,0.8,0,0.136364,0,0.1,0,0,0.111111
12,0.952381,0.355556,0.573,0,0.69,0,0,0.83,0,0.0909091,0,0,0,0,0,0.952381,0.355556,0.531,0.239,0.56,0.086,0.75,0.75,0,0.0909091,0,0.1,0.0833333,0,0
13,0.904762,0.2,0.427,0.313,0.48,0,0,0.45,0,0,0,0,0,0,0,0.880952,0.377778,0.336,0.311,0.54,0,0,0.54,0,0.0909091,0.0526316,0.1,0.25,0.142857,0
14,0.916667,0.533333,0.318,0,0.44,0.236,0.51,0.6,0,0.181818,0.210526,0.2,0.25,0.428571,0.333333,0.928571,0.2,0.734,0.676,0.57,0.125,0.16,1,0,0,0,0,0,0.142857,0
15,0.869048,0.333333,0.269,0.249,0.59,0.075,0.25,0.54,0,0.0454545,0.157895,0.4,0,0.285714,0.111111,0.904762,0.377778,0.251,0,0.7,0,0.33,0.8,0,0,0,0.3,0,0,0
16,0.880952,0.266667,0.197,0.193,0.59,0,0.12,0.75,0,0,0,0.1,0,0,0.111111,0.904762,0.311111,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.904762,0.377778,0.299,0.122,0.56,0.561,0.66,0,0,0.0454545,0,0,0,0,0,0.892857,0.266667,0.305,0.133,0.67,0.045,0.33,0.83,0,0.0454545,0,0.1,0,0.142857,0
18,0.880952,0.266667,0,0,0.61,0,0.16,0.6,0,0,0,0.1,0,0,0,0.869048,0.4,0,0,0.66,0.394,0.42,0.61,0,0.0909091,0,0.6,0,0.142857,0.111111
19,0.880952,0.311111,0.319,0.152,0.65,0.107,0.75,0.5,0,0,0.0526316,0.1,0,0.285714,0,0.892857,0.288889,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.892857,0.311111,0.364,0,0.56,0.103,0.22,0.75,0,0,0,0,0.0833333,0,0,0.857143,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.880952,0.444444,0.187,0.255,0.56,0.129,0.31,0.72,0,0.0454545,0.0526316,0.1,0,0.142857,0.333333,0.869048,0.222222,0.323,0.271,0.48,0,0.63,0.55,0,0,0.0526316,0.1,0,0,0.111111
22,0.785714,0.288889,0.234,0.329,0.57,0.068,0.25,1,0,0,0,0,0,0.142857,0.111111,0.761905,0.377778,0,0.413,0.61,0.133,0.66,0.57,0,0,0,0.1,0,0,0.111111
23,0.809524,0.444444,0.562,0.756,0.56,0,0,1,0,0,0,0,0.0833333,0,0,0.821429,0.422222,0,0.141,0.68,0.125,0.3,0.64,0,0,0,0.1,0,0.428571,0
24,0.904762,0.422222,0.471,0.361,0.54,0.125,0.31,0.42,0,0.181818,0.578947,0.3,0.0833333,0.142857,0.555556,0.880952,0.444444,0.417,0.295,0.67,0.173,0.58,0.77,0,0.272727,0.0526316,0.8,0,0,0.333333
25,0.845238,0.288889,0.383,0.306,0.6,0.079,0.37,0.62,0,0.136364,0.105263,0.2,0,0.142857,0.111111,0.880952,0.266667,0.241,0.309,0.6,0.061,0.4,0.83,0,0.0909091,0,0.3,0.0833333,0.142857,0
26,0.892857,0.288889,0.519,0.472,0.53,0.095,0.5,0.64,0,0.272727,0.157895,0,0,0,0.222222,0.892857,0.466667,0.352,0.254,0.6,0.039,0.45,0.78,0,0.227273,0,0.4,0.0833333,0,0.222222
27,0.940476,0.422222,0.269,0.238,0.44,0.047,0.23,0.53,0,0.454545,0,0.1,0.333333,0.142857,0,0.869048,0.4,0.356,0.444,0.56,0.055,1,1,0,0,0,0.2,0,0,0.111111
28,0.916667,0.266667,0.384,0.318,0.51,0.327,0.42,0.73,0,0.0909091,0.210526,0.3,0.0833333,0.285714,0.222222,0.845238,0.4,0,0.181,0.58,0.744,0.48,0,0,0.136364,0.105263,0.1,0,0,0
