Name,f,Unnamed: 0,Name,Record,Height,Weight,Reach,Stance,DoB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,MMA Record,KO/TKO Wins,SUB Wins,U-DEC Wins,M-DEC Wins,S-DEC Wins,KO/TKO Losses,SUB Losses,U-DEC Losses,M-DEC Losses,S-DEC Losses,Total Draws,Total NCs,Age
Mike Aina,21,21,Mike Aina,12-6-1 (1 NC),"5'9""",155lbs.,0.0,Orthodox,--,0.28700000000000003,0.33,0.633,0.59,0.0,0.0,0.71,0.0,"[('Billy Evangelista', 'nc', 'Overturned'), ('Nick Diaz', 'loss', 'S-DEC')]",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,0,0.0
Hitomi Akano,22,22,Hitomi Akano,18-8-0,"5'4""",135lbs.,0.0,Southpaw,"Jul27,1974",0.059,0.45,0.258,0.55,0.0,0.0,0.08,0.0,"[('Sara McMann', 'loss', 'U-DEC'), ('Carina Damm', 'win', 'SUBArmbar'), ('Miesha Tate', 'loss', 'U-DEC'), ('Cris Cyborg', 'loss', 'KO/TKOPunches')]",0.0,0.05263157894736842,0.0,0,0,0.08333333333333333,0.0,0.2222222222222222,0,0,0,0,0.6666666666666666
Omari Akhmedov,23,23,Omari Akhmedov,19-4-1,"6'0""",185lbs.,0.8690476190476191,Orthodox,"Oct12,1987",0.29100000000000004,0.34,0.269,0.59,0.24500000000000002,0.5,0.58,0.0,"[('Zak Cummings', 'win', 'U-DEC'), ('Tim Boetsch', 'win', 'U-DEC'), ('Marvin Vettori', 'draw', 'M-DEC'), ('Abdul Razak Alhassan', 'win', 'S-DEC'), ('Kyle Noke', 'win', 'U-DEC'), ('Elizeu Zaleski dos Santos', 'loss', 'KO/TKOKnee'), ('Sergio Moraes', 'loss', 'KO/TKOPunches'), ('Brian Ebersole', 'win', 'KO/TKO'), ('Mats Nilsson', 'win', 'U-DEC'), ('Gunnar Nelson', 'loss', 'SUBGuillotineChoke'), ('Thiago Perpetuo', 'win', 'KO/TKO')]",0.09090909090909091,0.0,0.4,0,1,0.16666666666666666,0.14285714285714285,0.0,0,0,0,0,0.37777777777777777
Yoshihiro Akiyama,24,24,Yoshihiro Akiyama,14-6-0 (2 NC),"5'10""",170lbs.,0.8690476190476191,Orthodox,"Jul29,1975",0.0,0.41,0.362,0.57,0.229,0.67,0.92,0.0,"[('Alberto Mina', 'loss', 'S-DEC'), ('Amir Sadollah', 'win', 'U-DEC'), ('Jake Shields', 'loss', 'U-DEC'), ('Vitor Belfort', 'loss', 'KO/TKOPunches'), ('Michael Bisping', 'loss', 'U-DEC'), ('Chris Leben', 'loss', 'SUBTriangleChoke'), ('Alan Belcher', 'win', 'S-DEC'), ('Masanori Tonooka', 'win', 'SUBArmbar'), ('Katsuyori Shibata', 'win', 'SUBGiChoke'), ('Kazuo Misaki', 'nc', 'Overturned'), ('Denis Kang', 'win', 'KO/TKOPunch'), ('Kazushi Sakuraba', 'nc', 'Overturned'), ('Melvin Manhoef', 'win', 'SUBArmbar'), ('Kestutis Smirnovas', 'win', 'KO/TKOKick'), ('Taiei Kin', 'win', 'SUBArmbar'), ('Katsuhiko Nagata', 'win', 'KO/TKOSpinningBackKick'), ('Tokimitsu Ishizawa', 'win', 'SUBGiChoke'), ('Masakatsu Okuda', 'win', 'KO/TKOPunches'), ('Michael Lerma', 'win', 'KO/TKOPunches'), ('Carl Toomey', 'win', 'SUBArmbar'), ('Jerome LeBanner', 'loss', 'KO/TKOKnee'), ('Francois Botha', 'win', 'SUBArmbar')]",0.22727272727272727,0.3684210526315789,0.1,0,1,0.16666666666666666,0.14285714285714285,0.2222222222222222,0,1,1,0,0.6444444444444445
Rostem Akman,25,25,Rostem Akman,6/2/00,"5'10""",170lbs.,0.8571428571428571,Switch,"Dec19,1991",0.0,0.25,0.397,0.57,0.0,0.4,0.87,0.0,"[('Jake Matthews', 'loss', 'U-DEC'), ('Sergey Khandozhko', 'loss', 'U-DEC')]",0.0,0.0,0.0,0,0,0.0,0.0,0.2222222222222222,0,0,0,0,0.28888888888888886
Razak Al-Hassan,26,26,Razak Al-Hassan,11/5/00,"6'2""",205lbs.,0.0,Orthodox,"May14,1982",0.327,0.39,0.314,0.6,0.065,0.14,0.57,0.0,"[('Kyle Kingsbury', 'loss', 'S-DEC'), ('Steve Cantwell', 'loss', 'SUBArmbar')]",0.0,0.0,0.0,0,0,0.0,0.14285714285714285,0.0,0,1,1,0,0.4888888888888889
Mostapha Al-Turk,27,27,Mostapha Al-Turk,6/6/00,"6'2""",245lbs.,0.9166666666666666,Orthodox,"Jul14,1973",0.136,0.19,0.361,0.53,0.0,0.0,0.0,0.0,"[('Jon Madsen', 'loss', 'U-DEC'), ('Mirko Cro Cop', 'loss', 'KO/TKOPunches'), ('Cheick Kongo', 'loss', 'KO/TKOElbows')]",0.0,0.0,0.0,0,0,0.16666666666666666,0.0,0.1111111111111111,0,0,0,0,0.6888888888888889
Herdem Alacabek,28,28,Herdem Alacabek,5/1/00,"6'2""",205lbs.,0.8928571428571429,Orthodox,"Jun07,1991",0.384,0.65,0.666,0.23,0.20600000000000002,0.5,0.42,0.0,[],0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.28888888888888886
Javi Alanis,29,29,Javi Alanis,0-3-0,"5'6""",135lbs.,0.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Adam Antolin', 'loss', 'KO/TKO')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.0
Heili Alateng,30,30,Heili Alateng,13-7-1,"5'5""",135lbs.,0.7857142857142857,Orthodox,"Dec14,1991",0.0,0.4,0.567,0.63,0.0,0.42,1.0,0.0,"[('Danaa Batgerel', 'win', 'U-DEC')]",0.0,0.0,0.1,0,0,0.0,0.0,0.0,0,0,0,0,0.28888888888888886
