,Title,Date,Location,Fights,Winners,Methods,Rounds,Times
234,UFC Fight Night: Shogun vs Henderson,"March 23, 2014","Natal, Rio Grande do Norte, Brazil","['Dan Henderson vs Mauricio Rua', 'CB Dollaway vs Cezar Ferreira', 'Leonardo Santos vs Norman Parke', 'Fabio Maldonado vs Gian Villante', 'Michel Prazeres vs Mairbek Taisumov', 'Rony Jason vs Steven Siler', 'Thiago Santos vs Ronny Markes', 'Jussier Formiga vs Scott Jorgensen', 'Kenny Robertson vs Thiago Perpetuo', 'Hans Stringer vs Francimar Barroso', 'Godofredo Pepey vs Noad Lahat']","['Dan Henderson', 'CB Dollaway', 'Leonardo Santos', 'Fabio Maldonado', 'Michel Prazeres', 'Rony Jason', 'Thiago Santos', 'Jussier Formiga', 'Kenny Robertson', 'Hans Stringer', 'Godofredo Pepey']","['KO/TKO', 'KO/TKO', 'M-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'S-DEC', 'KO/TKO']","['3', '1', '3', '3', '3', '1', '1', '1', '1', '3', '1']","['1:31', '0:39', '5:00', '5:00', '5:00', '1:17', '0:53', '3:07', '1:45', '5:00', '2:39']"
235,UFC 171: Hendricks vs Lawler,"March 15, 2014","Dallas, Texas, USA","['Johny Hendricks vs Robbie Lawler', 'Tyron Woodley vs Carlos Condit', 'Myles Jury vs Diego Sanchez', 'Hector Lombard vs Jake Shields', 'Ovince Saint Preux vs Nikita Krylov', 'Kelvin Gastelum vs Rick Story', 'Jessica Andrade vs Raquel Pennington', 'Dennis Bermudez vs Jimy Hettes', 'Alex Garcia vs Sean Spencer', 'Francisco Trevino vs Renee Forte', 'Justin Scoggins vs Will Campuzano', 'Sean Strickland vs Bubba McDaniel', 'Rob Whiteford vs Daniel Pineda']","['Johny Hendricks', 'Tyron Woodley', 'Myles Jury', 'Hector Lombard', 'Ovince Saint Preux', 'Kelvin Gastelum', 'Jessica Andrade', 'Dennis Bermudez', 'Alex Garcia', 'Francisco Trevino', 'Justin Scoggins', 'Sean Strickland', 'Rob Whiteford']","['U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'S-DEC', 'S-DEC', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC']","['5', '2', '3', '3', '1', '3', '3', '3', '3', '3', '3', '1', '3']","['5:00', '2:00', '5:00', '5:00', '1:29', '5:00', '5:00', '2:57', '5:00', '5:00', '5:00', '4:33', '5:00']"
236,UFC Fight Night: Gustafsson vs Manuwa,"March 08, 2014","London, England, United Kingdom","['Alexander Gustafsson vs Jimi Manuwa', 'Michael Johnson vs Melvin Guillard', 'Brad Pickett vs Neil Seery', 'Gunnar Nelson vs Omari Akhmedov', 'Ilir Latifi vs Cyrille Diabate', 'Luke Barnatt vs Mats Nilsson', 'Claudio Silva vs Bradley Scott', 'Igor Araujo vs Danny Mitchell', 'Phil Harris vs Louis Gaudinot']","['Alexander Gustafsson', 'Michael Johnson', 'Brad Pickett', 'Gunnar Nelson', 'Ilir Latifi', 'Luke Barnatt', 'Claudio Silva', 'Igor Araujo', 'Phil Harris']","['KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'Overturned']","['2', '3', '3', '1', '1', '1', '3', '3', '1']","['1:18', '5:00', '5:00', '4:36', '3:02', '4:24', '5:00', '5:00', '1:13']"
237,UFC Fight Night: Kim vs Hathaway,"March 01, 2014","Macau, China","['Dong Hyun Kim vs John Hathaway', 'Zhang Lipeng vs Sai Wang', 'Matt Mitrione vs Shawn Jordan', 'Hatsu Hioki vs Ivan Menjivar', 'Yui Chul Nam vs Kazuki Tokudome', 'Vaughan Lee vs Nam Phan', 'An Ying Wang vs Albert Cheng', 'Mark Eddiva vs Jumabieke Tuerxun']","['Dong Hyun Kim', 'Zhang Lipeng', 'Matt Mitrione', 'Hatsu Hioki', 'Yui Chul Nam', 'Vaughan Lee', 'An Ying Wang', 'Mark Eddiva']","['KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'U-DEC']","['3', '3', '1', '3', '3', '3', '1', '3']","['1:02', '5:00', '4:59', '5:00', '5:00', '5:00', '5:00', '5:00']"
238,UFC 170: Rousey vs McMann,"February 22, 2014","Las Vegas, Nevada, USA","['Ronda Rousey vs Sara McMann', 'Daniel Cormier vs Patrick Cummins', 'Rory MacDonald vs Demian Maia', 'Mike Pyle vs TJ Waldburger', 'Stephen Thompson vs Robert Whittaker', 'Alexis Davis vs Jessica Eye', 'Raphael Assuncao vs Pedro Munhoz', 'Aljamain Sterling vs Cody Gibson', 'Zach Makovsky vs Joshua Sampo', 'Erik Koch vs Rafaello Oliveira', 'Ernest Chavez vs Yosdenis Cedeno']","['Ronda Rousey', 'Daniel Cormier', 'Rory MacDonald', 'Mike Pyle', 'Stephen Thompson', 'Alexis Davis', 'Raphael Assuncao', 'Aljamain Sterling', 'Zach Makovsky', 'Erik Koch', 'Ernest Chavez']","['KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC']","['1', '1', '3', '3', '1', '3', '3', '3', '3', '1', '3']","['1:06', '1:19', '5:00', '4:03', '3:43', '5:00', '5:00', '5:00', '5:00', '1:24', '5:00']"
239,UFC Fight Night: Machida vs Mousasi,"February 15, 2014","Jaragua do Sul, Santa Catarina, Brazil","['Lyoto Machida vs Gegard Mousasi', 'Jacare Souza vs Francis Carmont', 'Erick Silva vs Takenori Sato', 'Nico Musoke vs Viscardi Andrade', 'Charles Oliveira vs Andy Ogle', 'Joe Proctor vs Cristiano Marcello', 'Rodrigo Damm vs Ivan Jorge', 'Francisco Trinaldo vs Jesse Ronson', 'Iuri Alcantara vs Wilson Reis', 'Felipe Arantes vs Maximo Blanco', 'Ildemar Alcantara vs Albert Tumenov', 'Zubaira Tukhugov vs Douglas Silva de Andrade']","['Lyoto Machida', 'Jacare Souza', 'Erick Silva', 'Nico Musoke', 'Charles Oliveira', 'Joe Proctor', 'Rodrigo Damm', 'Francisco Trinaldo', 'Iuri Alcantara', 'Felipe Arantes', 'Ildemar Alcantara', 'Zubaira Tukhugov']","['U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'S-DEC', 'S-DEC', 'U-DEC', 'S-DEC', 'U-DEC']","['5', '3', '1', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['5:00', '5:00', '0:52', '5:00', '2:40', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00']"
240,UFC 169: Barao vs Faber 2,"February 01, 2014","Newark, New Jersey, USA","['Renan Barao vs Urijah Faber', 'Jose Aldo vs Ricardo Lamas', 'Alistair Overeem vs Frank Mir', 'Ali Bagautinov vs John Lineker', 'Abel Trujillo vs Jamie Varner', 'Alan Patrick vs John Makdessi', 'Chris Cariaso vs Danny Martinez', 'Nick Catone vs Tom Watson', 'Al Iaquinta vs Kevin Lee', 'Clint Hester vs Andy Enz', 'Rashid Magomedov vs Anthony Rocco Martin', 'Neil Magny vs Gasan Umalatov']","['Renan Barao', 'Jose Aldo', 'Alistair Overeem', 'Ali Bagautinov', 'Abel Trujillo', 'Alan Patrick', 'Chris Cariaso', 'Nick Catone', 'Al Iaquinta', 'Clint Hester', 'Rashid Magomedov', 'Neil Magny']","['KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC']","['1', '5', '3', '3', '2', '3', '3', '3', '3', '3', '3', '3']","['3:42', '5:00', '5:00', '5:00', '2:32', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00']"
241,UFC on Fox: Henderson vs Thomson,"January 25, 2014","Chicago, Illinois, USA","['Benson Henderson vs Josh Thomson', 'Stipe Miocic vs Gabriel Gonzaga', 'Donald Cerrone vs Adriano Martins', 'Jeremy Stephens vs Darren Elkins', 'Alex Caceres vs Sergio Pettis', 'Eddie Wineland vs Yves Jabouin', 'Chico Camus vs Yaotzin Meza', 'Hugo Viana vs Junior Hernandez', 'Daron Cruickshank vs Mike Rio', 'George Sullivan vs Mike Rhodes', 'Nikita Krylov vs Walt Harris']","['Benson Henderson', 'Stipe Miocic', 'Donald Cerrone', 'Jeremy Stephens', 'Alex Caceres', 'Eddie Wineland', 'Chico Camus', 'Hugo Viana', 'Daron Cruickshank', 'George Sullivan', 'Nikita Krylov']","['S-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'Overturned', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO']","['5', '3', '1', '3', '3', '2', '3', '3', '2', '3', '1']","['5:00', '5:00', '4:40', '5:00', '4:39', '4:16', '5:00', '5:00', '4:56', '5:00', '0:25']"
242,UFC Fight Night: Rockhold vs Philippou,"January 15, 2014","Duluth, Georgia, USA","['Luke Rockhold vs Costas Philippou', 'Brad Tavares vs Lorenz Larkin', 'TJ Dillashaw vs Mike Easton', 'Yoel Romero vs Derek Brunson', 'John Moraga vs Dustin Ortiz', 'Cole Miller vs Sam Sicilia', 'Ramsey Nijem vs Justin Edwards', 'Elias Silverio vs Isaac Vallie-Flagg', 'Trevor Smith vs Brian Houston', 'Louis Smolka vs Alptekin Ozkilic', 'Vinc Pichel vs Garett Whiteley', 'Beneil Dariush vs Charlie Brenneman']","['Luke Rockhold', 'Brad Tavares', 'TJ Dillashaw', 'Yoel Romero', 'John Moraga', 'Cole Miller', 'Ramsey Nijem', 'Elias Silverio', 'Trevor Smith', 'Louis Smolka', 'Vinc Pichel', 'Beneil Dariush']","['KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'SUB', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'U-DEC', 'SUB']","['1', '3', '3', '3', '3', '2', '3', '3', '3', '3', '3', '1']","['2:31', '5:00', '5:00', '3:23', '5:00', '1:54', '5:00', '5:00', '5:00', '5:00', '5:00', '1:45']"
243,UFC Fight Night: Saffiedine vs Lim,"January 04, 2014","Singapore, Singapore","['Tarec Saffiedine vs Hyun Gyu Lim', 'Tatsuya Kawajiri vs Sean Soriano', 'Kiichi Kunimoto vs Luiz Dutra', 'Kyung Ho Kang vs Shunichi Shimizu', 'Max Holloway vs Will Chope', 'Katsunori Kikuno vs Quinn Mulhern', 'Royston Wee vs Dave Galera', 'Mairbek Taisumov vs Tae Hyun Bang', 'Dustin Kimura vs Jon Delos Reyes', 'Russell Doane vs Leandro Issa']","['Tarec Saffiedine', 'Tatsuya Kawajiri', 'Kiichi Kunimoto', 'Kyung Ho Kang', 'Max Holloway', 'Katsunori Kikuno', 'Royston Wee', 'Mairbek Taisumov', 'Dustin Kimura', 'Russell Doane']","['U-DEC', 'SUB', 'DQ', 'SUB', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'SUB']","['5', '2', '1', '3', '2', '3', '3', '3', '1', '2']","['5:00', '0:50', '2:57', '3:53', '2:27', '5:00', '5:00', '5:00', '2:13', '4:59']"
244,UFC 168: Weidman vs Silva 2,"December 28, 2013","Las Vegas, Nevada, USA","['Chris Weidman vs Anderson Silva', 'Ronda Rousey vs Miesha Tate', 'Travis Browne vs Josh Barnett', 'Jim Miller vs Fabricio Camoes', 'Dustin Poirier vs Diego Brandao', 'Uriah Hall vs Chris Leben', 'Michael Johnson vs Gleison Tibau', 'Dennis Siver vs Manvel Gamburyan', 'John Howard vs Siyar Bahadurzada', 'William Patolino vs Bobby Voelker', 'Robert Peralta vs Estevan Payan']","['Chris Weidman', 'Ronda Rousey', 'Travis Browne', 'Jim Miller', 'Dustin Poirier', 'Uriah Hall', 'Michael Johnson', 'Dennis Siver', 'John Howard', 'William Patolino', 'Robert Peralta']","['KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Overturned', 'U-DEC', 'U-DEC', 'KO/TKO']","['2', '3', '1', '1', '1', '1', '2', '3', '3', '3', '3']","['1:16', '0:58', '1:00', '3:42', '4:54', '5:00', '1:32', '5:00', '5:00', '5:00', '0:12']"
245,UFC on Fox: Johnson vs. Benavidez 2,"December 14, 2013","Sacramento, California, USA","['Demetrious Johnson vs Joseph Benavidez', 'Urijah Faber vs Michael McDonald', 'Chad Mendes vs Nik Lentz', 'Joe Lauzon vs Mac Danzig', 'Ryan LaFlare vs Court McGee', 'Edson Barboza vs Danny Castillo', 'Bobby Green vs Pat Healy', 'Zach Makovsky vs Scott Jorgensen', 'Sam Stout vs Cody McKenzie', 'Abel Trujillo vs Roger Bowling', 'Alptekin Ozkilic vs Darren Uyenoyama']","['Demetrious Johnson', 'Urijah Faber', 'Chad Mendes', 'Joe Lauzon', 'Ryan LaFlare', 'Edson Barboza', 'Bobby Green', 'Zach Makovsky', 'Sam Stout', 'Abel Trujillo', 'Alptekin Ozkilic']","['KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC', 'M-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC']","['1', '2', '3', '3', '3', '3', '3', '3', '3', '2', '3']","['2:08', '3:22', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00', '5:00', '1:35', '5:00']"
246,UFC Fight Night: Hunt vs Bigfoot,"December 06, 2013","Brisbane, Queensland, Australia","['Mark Hunt vs Antonio Silva', 'Mauricio Rua vs James Te Huna', 'Ryan Bader vs Anthony Perosh', 'Soa Palelei vs Pat Barry', 'Clint Hester vs Dylan Andrews', 'Bethe Correia vs Julie Kedzie', 'Takeya Mizugaki vs Nam Phan', 'Caio Magalhaes vs Nick Ring', 'Justin Scoggins vs Richie Vaculik', 'Krzysztof Jotko vs Bruno Santos', 'Alex Garcia vs Ben Wall']","['Mark Hunt', 'Mauricio Rua', 'Ryan Bader', 'Soa Palelei', 'Clint Hester', 'Bethe Correia', 'Takeya Mizugaki', 'Caio Magalhaes', 'Justin Scoggins', 'Krzysztof Jotko', 'Alex Garcia']","['M-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO']","['5', '1', '3', '1', '2', '3', '3', '3', '1', '3', '1']","['5:00', '1:03', '5:00', '2:09', '5:00', '5:00', '5:00', '5:00', '4:43', '5:00', '0:43']"
247,The Ultimate Fighter 18 Finale,"November 30, 2013","Las Vegas, Nevada, USA","['Nate Diaz vs Gray Maynard', 'Julianna Pena vs Jessica Rakoczy', 'Chris Holdsworth vs Davey Grant', 'Jessamyn Duke vs Peggy Morgan', 'Raquel Pennington vs Roxanne Modafferi', 'Akira Corassani vs Maximo Blanco', 'Tom Niinimaki vs Rani Yahya', 'Jared Rosholt vs Walt Harris', 'Sean Spencer vs Drew Dober', 'Joshua Sampo vs Ryan Benoit']","['Nate Diaz', 'Julianna Pena', 'Chris Holdsworth', 'Jessamyn Duke', 'Raquel Pennington', 'Akira Corassani', 'Tom Niinimaki', 'Jared Rosholt', 'Sean Spencer', 'Joshua Sampo']","['KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'DQ', 'S-DEC', 'U-DEC', 'U-DEC', 'SUB']","['1', '1', '2', '3', '3', '1', '3', '3', '3', '2']","['2:38', '4:59', '2:10', '5:00', '5:00', '0:25', '5:00', '5:00', '5:00', '4:31']"
248,UFC 167: St-Pierre vs Hendricks,"November 16, 2013","Las Vegas, Nevada, USA","['Georges St-Pierre vs Johny Hendricks', 'Rashad Evans vs Chael Sonnen', 'Robbie Lawler vs Rory MacDonald', 'Tyron Woodley vs Josh Koscheck', 'Ali Bagautinov vs Tim Elliott', 'Donald Cerrone vs Evan Dunham', 'Thales Leites vs Ed Herman', 'Rick Story vs Brian Ebersole', 'Erik Perez vs Edwin Figueroa', 'Jason High vs Anthony Lapsley', 'Sergio Pettis vs Will Campuzano', 'Gian Villante vs Cody Donovan']","['Georges St-Pierre', 'Rashad Evans', 'Robbie Lawler', 'Tyron Woodley', 'Ali Bagautinov', 'Donald Cerrone', 'Thales Leites', 'Rick Story', 'Erik Perez', 'Jason High', 'Sergio Pettis', 'Gian Villante']","['S-DEC', 'KO/TKO', 'S-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'U-DEC', 'KO/TKO']","['5', '1', '3', '1', '3', '2', '3', '3', '3', '3', '3', '2']","['5:00', '4:05', '5:00', '4:38', '5:00', '3:49', '5:00', '5:00', '5:00', '5:00', '5:00', '1:22']"
249,UFC Fight Night: Belfort vs Henderson,"November 09, 2013","Goiania, Goias, Brazil","['Vitor Belfort vs Dan Henderson', 'Cezar Ferreira vs Daniel Sarafian', 'Rafael Feijao vs Igor Pokrajac', 'Brandon Thatch vs Paulo Thiago', 'Ryan LaFlare vs Santiago Ponzinibbio', 'Jeremy Stephens vs Rony Jason', 'Sam Sicilia vs Godofredo Pepey', 'Omari Akhmedov vs Thiago Perpetuo', 'Thiago Tavares vs Justin Salas', 'Adriano Martins vs Daron Cruickshank', 'Dustin Ortiz vs Jose Maria']","['Vitor Belfort', 'Cezar Ferreira', 'Rafael Feijao', 'Brandon Thatch', 'Ryan LaFlare', 'Jeremy Stephens', 'Sam Sicilia', 'Omari Akhmedov', 'Thiago Tavares', 'Adriano Martins', 'Dustin Ortiz']","['KO/TKO', 'S-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB', 'KO/TKO']","['1', '3', '1', '1', '3', '1', '1', '1', '1', '2', '3']","['1:17', '5:00', '1:18', '2:10', '5:00', '0:40', '1:42', '3:31', '2:38', '2:49', '3:19']"
250,UFC Fight Night: Fight for the Troops,"November 06, 2013","Fort Campbell, Kentucky, USA","['Tim Kennedy vs Rafael Natal', 'Alexis Davis vs Liz Carmouche', 'Yoel Romero vs Ronny Markes', 'Rustam Khabilov vs Jorge Masvidal', 'Michael Chiesa vs Colton Smith', 'Bobby Green vs James Krause', 'Francisco Rivera vs George Roop', 'Dennis Bermudez vs Steven Siler', 'Amanda Nunes vs Germaine de Randamie', 'Lorenz Larkin vs Chris Camozzi', 'Yves Edwards vs Yancy Medeiros', 'Seth Baczynski vs Neil Magny', 'Derek Brunson vs Brian Houston']","['Tim Kennedy', 'Alexis Davis', 'Yoel Romero', 'Rustam Khabilov', 'Michael Chiesa', 'Bobby Green', 'Francisco Rivera', 'Dennis Bermudez', 'Amanda Nunes', 'Lorenz Larkin', 'Yves Edwards', 'Seth Baczynski', 'Derek Brunson']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'Overturned', 'U-DEC', 'SUB']","['1', '3', '3', '3', '2', '1', '2', '3', '1', '3', '1', '3', '1']","['4:40', '5:00', '1:39', '5:00', '1:41', '3:50', '2:20', '5:00', '3:56', '5:00', '2:47', '5:00', '0:48']"
251,UFC Fight Night: Machida vs Munoz,"October 26, 2013","Manchester, England, United Kingdom","['Lyoto Machida vs Mark Munoz', 'Ross Pearson vs Melvin Guillard', 'Jimi Manuwa vs Ryan Jimmo', 'Norman Parke vs Jon Tuck', 'Nico Musoke vs Alessio Sakara', 'John Lineker vs Phil Harris', 'Al Iaquinta vs Piotr Hallmann', 'Luke Barnatt vs Andrew Craig', 'Jessica Andrade vs Rosi Sexton', 'Cole Miller vs Andy Ogle', 'Jimy Hettes vs Rob Whiteford', 'Bradley Scott vs Michael Kuiper']","['Lyoto Machida', 'Ross Pearson', 'Jimi Manuwa', 'Norman Parke', 'Nico Musoke', 'John Lineker', 'Al Iaquinta', 'Luke Barnatt', 'Jessica Andrade', 'Cole Miller', 'Jimy Hettes', 'Bradley Scott']","['KO/TKO', 'CNC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'SUB', 'SUB']","['1', '1', '2', '3', '1', '1', '3', '2', '3', '3', '2', '1']","['3:10', '1:57', '4:41', '5:00', '3:07', '2:51', '5:00', '2:12', '5:00', '5:00', '2:17', '4:17']"
252,UFC 166: Velasquez vs Dos Santos 3,"October 19, 2013","Houston, Texas, USA","['Cain Velasquez vs Junior Dos Santos', 'Daniel Cormier vs Roy Nelson', 'Gilbert Melendez vs Diego Sanchez', 'Gabriel Gonzaga vs Shawn Jordan', 'John Dodson vs Darrell Montague', 'Tim Boetsch vs CB Dollaway', 'Hector Lombard vs Nate Marquardt', 'Sarah Kaufman vs Jessica Eye', 'KJ Noons vs George Sotiropoulos', 'Adlan Amagov vs TJ Waldburger', 'Tony Ferguson vs Mike Rio', 'Andre Fili vs Jeremy Larsen', 'Kyoji Horiguchi vs Dustin Pague']","['Cain Velasquez', 'Daniel Cormier', 'Gilbert Melendez', 'Gabriel Gonzaga', 'John Dodson', 'Tim Boetsch', 'Hector Lombard', 'Sarah Kaufman', 'KJ Noons', 'Adlan Amagov', 'Tony Ferguson', 'Andre Fili', 'Kyoji Horiguchi']","['KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'S-DEC', 'KO/TKO', 'Overturned', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO']","['5', '3', '3', '1', '1', '3', '1', '3', '3', '1', '1', '2', '2']","['3:09', '5:00', '5:00', '1:33', '4:13', '5:00', '1:48', '5:00', '5:00', '3:00', '1:52', '0:53', '3:51']"
253,UFC Fight Night: Maia vs Shields,"October 09, 2013","Barueri, Sao Paulo, Brazil","['Jake Shields vs Demian Maia', 'Dong Hyun Kim vs Erick Silva', 'Thiago Silva vs Matt Hamill', 'Fabio Maldonado vs Joey Beltran', 'Rousimar Palhares vs Mike Pierce', 'Raphael Assuncao vs TJ Dillashaw', 'Igor Araujo vs Ildemar Alcantara', 'Yan Cabral vs David Mitchell', 'Chris Cariaso vs Iliarde Santos', 'Alan Patrick vs Garett Whiteley']","['Jake Shields', 'Dong Hyun Kim', 'Thiago Silva', 'Fabio Maldonado', 'Rousimar Palhares', 'Raphael Assuncao', 'Igor Araujo', 'Yan Cabral', 'Chris Cariaso', 'Alan Patrick']","['S-DEC', 'KO/TKO', 'U-DEC', 'S-DEC', 'SUB', 'S-DEC', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO']","['5', '2', '3', '3', '1', '3', '3', '3', '2', '1']","['5:00', '3:01', '5:00', '5:00', '0:31', '5:00', '5:00', '5:00', '4:31', '3:54']"
254,UFC 165: Jones vs Gustafsson,"September 21, 2013","Toronto, Ontario, Canada","['Jon Jones vs Alexander Gustafsson', 'Renan Barao vs Eddie Wineland', 'Brendan Schaub vs Matt Mitrione', 'Francis Carmont vs Costas Philippou', 'Khabib Nurmagomedov vs Pat Healy', 'Myles Jury vs Mike Ricci', 'Wilson Reis vs Ivan Menjivar', 'Stephen Thompson vs Chris Clements', 'Mitch Gagnon vs Dustin Kimura', 'John Makdessi vs Renee Forte', 'Michel Prazeres vs Jesse Ronson', 'Alex Caceres vs Roland Delorme', 'Daniel Omielanczuk vs Nandor Guelmino']","['Jon Jones', 'Renan Barao', 'Brendan Schaub', 'Francis Carmont', 'Khabib Nurmagomedov', 'Myles Jury', 'Wilson Reis', 'Stephen Thompson', 'Mitch Gagnon', 'John Makdessi', 'Michel Prazeres', 'Alex Caceres', 'Daniel Omielanczuk']","['U-DEC', 'KO/TKO', 'SUB', 'U-DEC', 'U-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'S-DEC', 'S-DEC', 'KO/TKO']","['5', '2', '1', '3', '3', '3', '3', '2', '1', '1', '3', '3', '3']","['5:00', '0:35', '4:06', '5:00', '5:00', '5:00', '5:00', '1:27', '4:05', '2:01', '5:00', '5:00', '3:18']"
255,UFC Fight Night: Teixeira vs Bader,"September 04, 2013","Belo Horizonte, Minas Gerais, Brazil","['Glover Teixeira vs Ryan Bader', 'Jacare Souza vs Yushin Okami', 'Joseph Benavidez vs Jussier Formiga', 'Piotr Hallmann vs Francisco Trinaldo', 'Rafael Natal vs Tor Troeng', 'Ali Bagautinov vs Marcos Vinicius', 'Kevin Souza vs Felipe Arantes', 'Lucas Martins vs Junior Hernandez', 'Elias Silverio vs Joao Zeferino', 'Ivan Jorge vs Keith Wisniewski', 'Sean Spencer vs Yuri Villefort']","['Glover Teixeira', 'Jacare Souza', 'Joseph Benavidez', 'Piotr Hallmann', 'Rafael Natal', 'Ali Bagautinov', 'Kevin Souza', 'Lucas Martins', 'Elias Silverio', 'Ivan Jorge', 'Sean Spencer']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'S-DEC', 'SUB', 'U-DEC', 'U-DEC', 'S-DEC']","['1', '1', '1', '2', '3', '3', '3', '1', '3', '3', '3']","['2:55', '2:47', '3:07', '3:50', '5:00', '3:28', '5:00', '1:10', '5:00', '5:00', '5:00']"
256,UFC 164: Henderson vs Pettis 2,"August 31, 2013","Milwaukee, Wisconsin, USA","['Anthony Pettis vs Benson Henderson', 'Josh Barnett vs Frank Mir', 'Chad Mendes vs Clay Guida', 'Ben Rothwell vs Brandon Vera', 'Dustin Poirier vs Erik Koch', 'Gleison Tibau vs Jamie Varner', 'Tim Elliott vs Louis Gaudinot', 'Hyun Gyu Lim vs Pascal Krauss', 'Chico Camus vs Kyung Ho Kang', 'Soa Palelei vs Nikita Krylov', 'Al Iaquinta vs Ryan Couture', 'Magnus Cedenblad vs Jared Hamman']","['Anthony Pettis', 'Josh Barnett', 'Chad Mendes', 'Ben Rothwell', 'Dustin Poirier', 'Gleison Tibau', 'Tim Elliott', 'Hyun Gyu Lim', 'Chico Camus', 'Soa Palelei', 'Al Iaquinta', 'Magnus Cedenblad']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'SUB']","['1', '1', '3', '3', '3', '3', '3', '1', '3', '3', '3', '1']","['4:41', '1:56', '0:30', '1:54', '5:00', '5:00', '5:00', '3:58', '5:00', '1:34', '5:00', '0:57']"
257,UFC Fight Night: Condit vs Kampmann 2,"August 28, 2013","Indianapolis, Indiana, USA","['Carlos Condit vs Martin Kampmann', 'Rafael Dos Anjos vs Donald Cerrone', 'Kelvin Gastelum vs Brian Melancon', 'Court McGee vs Robert Whittaker', 'Takeya Mizugaki vs Erik Perez', 'Brad Tavares vs Bubba McDaniel', 'Dylan Andrews vs Papy Abedi', 'Brandon Thatch vs Justin Edwards', 'Darren Elkins vs Hatsu Hioki', 'Jason High vs James Head', 'Zak Cummings vs Benny Alloway', 'Roger Bowling vs Abel Trujillo']","['Carlos Condit', 'Rafael Dos Anjos', 'Kelvin Gastelum', 'Court McGee', 'Takeya Mizugaki', 'Brad Tavares', 'Dylan Andrews', 'Brandon Thatch', 'Darren Elkins', 'Jason High', 'Zak Cummings', 'Roger Bowling']","['KO/TKO', 'U-DEC', 'SUB', 'S-DEC', 'S-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'SUB', 'CNC']","['4', '3', '1', '3', '3', '3', '3', '1', '3', '1', '1', '2']","['0:54', '5:00', '2:26', '5:00', '5:00', '5:00', '1:32', '1:23', '5:00', '1:41', '4:19', '4:57']"
